StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Colorado,CO,School,No,Bacon Elementary School,Regular school,80399001973,,Regular local school district,803990,,,04/19/21,05/28/21,17,16,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Banning Lewis Ranch Academy,Regular school,80387002027,,Regular local school district,803870,,,05/27/21,06/19/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Barnum Elementary School,Regular school,80336000311,,Regular local school district,803360,,,11/09/2020,12/01/2020,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Barone Middle School,Regular school,80561000966,,Regular local school district,805610,,,02/04/2021,05/04/2021,14,9,5,,,,,,,,,,,,
Colorado,CO,School,No,Basalt High School,Regular school,80426000584,,Regular local school district,804260,,,03/09/2021,05/14/21,6,5,1,,,,,,,,,,,,
Colorado,CO,School,No,Basalt Middle School,Regular school,80426000133,,Regular local school district,804260,,,02/09/2021,03/03/2021,4,2,2,,,,,,,,,,,,
Colorado,CO,School,No,Battle Mountain High School,Regular school,80354000461,,Regular local school district,803540,,,08/25/20,09/11/2020,2,,2,,,,,,,,,,,,
Colorado,CO,School,No,Battle Mountain High School,Regular school,80354000461,,Regular local school district,803540,,,03/16/21,05/07/2021,18,18,,,,,,,,,,,,,
Colorado,CO,School,No,Bauder Elementary School,Regular school,80399000519,,Regular local school district,803990,,,02/12/2021,03/15/21,8,7,1,,,,,,,,,,,,
Colorado,CO,School,No,Bayfield High School,Regular school,80240000090,,Regular local school district,802400,,,12/23/20,06/22/21,20,19,1,,,,,,,,,,,,
Colorado,CO,School,No,Bear Creek Elementary School,Regular school,80582001371,,Regular local school district,805820,,,09/01/2020,10/07/2020,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Bear Creek Elementary School,Regular school,80582001371,,Regular local school district,805820,,,12/01/2020,12/12/2020,4,4,,,,,,,,,,,,,
Colorado,CO,School,No,Bear Creek High School,Regular school,80480000697,,Regular local school district,804800,,,11/03/2020,12/08/2020,6,5,1,,,,,,,,,,,,
Colorado,CO,School,No,Bear Creek High School,Regular school,80480000697,,Regular local school district,804800,,,04/20/21,05/29/21,13,13,,,,,,,,,,,,,
Colorado,CO,School,No,Bear Creek School K-8,Regular school,80480000696,,Regular local school district,804800,,,11/03/2020,11/24/20,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Belleview Elementary School,Regular school,80291000184,,Regular local school district,802910,,,03/03/2021,03/28/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Ben Franklin Academy,Regular school,80345006492,,Regular local school district,803450,,,11/03/2020,01/21/21,21,16,5,,,,,,,,,,,,
Colorado,CO,School,Yes,Ben Franklin Academy,Regular school,80345006492,,Regular local school district,803450,,,02/09/2021,03/24/21,4,4,,,,,,,,,,,,,
Colorado,CO,School,Yes,Ben Franklin Academy,Regular school,80345006492,,Regular local school district,803450,,,04/12/2021,06/05/2021,13,13,,,,,,,,,,,,,
Colorado,CO,School,No,Bennett High School,Regular school,80243000092,,Regular local school district,802430,,,03/18/21,04/27/21,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Bennett Middle School,Regular school,80243000093,,Regular local school district,802430,,,12/14/20,02/24/21,3,,3,,,,,,,,,,,,
Colorado,CO,School,No,Bennett Ranch Elementary School,Regular school,80387006766,,Regular local school district,803870,,,04/27/21,06/01/2021,9,9,,,,,,,,,,,,,
Colorado,CO,School,No,Berry Creek Middle School,Regular school,80354001531,,Regular local school district,803540,,,03/29/21,04/13/21,4,1,3,,,,,,,,,,,,
Colorado,CO,School,No,Berthoud Elementary School,Regular school,80540000926,,Regular local school district,805400,,,02/22/21,03/16/21,3,1,2,,,,,,,,,,,,
Colorado,CO,School,No,Berthoud High School,Regular school,80540000927,,Regular local school district,805400,,,03/09/2021,06/04/2021,34,33,1,,,,,,,,,,,,
Colorado,CO,School,No,Bill Reed Middle School,Regular school,80540000929,,Regular local school district,805400,,,04/06/2021,05/28/21,14,11,3,,,,,,,,,,,,
Colorado,CO,School,No,Blevins Middle School,Regular school,80399000522,,Regular local school district,803990,,,11/18/20,03/30/21,23,16,7,,,,,,,,,,,,
Colorado,CO,School,No,Boltz Middle School,Regular school,80399000523,,Regular local school district,803990,,,12/08/2020,01/19/21,15,15,,,,,,,,,,,,,
Colorado,CO,School,No,Boulder Country Day School,Regular school,80249000101,,Regular local school district,802490,,,05/24/21,06/13/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Boulder High School,Regular school,80249000101,,Regular local school district,802490,,,11/14/20,12/23/20,7,2,5,,,,,,,,,,,,
Colorado,CO,School,No,Boulder High School,Regular school,80249000101,,Regular local school district,802490,,,03/19/21,04/14/21,4,4,,,,,,,,,,,,,
Colorado,CO,School,No,Bradford Elementary School,Regular school,80612001033,,Regular local school district,806120,,,04/16/21,05/25/21,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Bradley International School,Regular school,80336000317,,Regular local school district,803360,,,05/18/21,06/15/21,9,9,,,,,,,,,,,,,
Colorado,CO,School,No,Breckenridge Elementary School,Regular school,80681001166,,Regular local school district,806810,,,11/12/2020,12/08/2020,2,,2,,,,,,,,,,,,
Colorado,CO,School,Yes,Bromley East Charter School,Regular school,80258001729,,Regular local school district,802580,,,10/30/20,03/04/2021,5,2,3,,,,,,,,,,,,
Colorado,CO,School,No,Broomfield High School,Regular school,80249000103,,Regular local school district,802490,,,02/09/2021,03/23/21,12,9,3,,,,,,,,,,,,
Colorado,CO,School,No,Brown International Academy,Regular school,80336000319,,Regular local school district,803360,,,05/20/21,06/21/21,7,5,2,,,,,,,,,,,,
Colorado,CO,School,No,Bruce Randolph School,Regular school,80336001869,,Regular local school district,803360,,,11/02/2020,12/01/2020,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Brush Creek Elementary School,Regular school,80354001722,,Regular local school district,803540,,,04/13/21,05/07/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Buffalo Ridge Elementary School,Regular school,80345001577,,Regular local school district,803450,,,02/09/2021,03/22/21,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Burlington Elementary School,Regular school,80267000160,,Regular local school district,802670,,,11/18/20,12/09/2020,12,,12,,,,,,,,,,,,
Colorado,CO,School,No,Burlington High School,Regular school,80267000162,,Regular local school district,802670,,,11/18/20,12/10/2020,10,5,5,,,,,,,,,,,,
Colorado,CO,School,Yes,Byers Middle School,Regular school,80336006572,,Regular local school district,803360,,,11/03/2020,12/17/20,7,7,,,,,,,,,,,,,
Colorado,CO,School,No,Cache La Poudre Elementary School,Regular school,80399000525,,Regular local school district,803990,,,04/12/2021,05/23/21,6,6,,,,,,,,,,,,,
Colorado,CO,School,No,Cache La Poudre Middle School,Regular school,80399000524,,Regular local school district,803990,,,12/01/2020,01/02/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Cache La Poudre Middle School,Regular school,80399000524,,Regular local school district,803990,,,05/10/2021,05/29/21,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Canon City High School,Regular school,80279000172,,Regular local school district,802790,,,12/09/2020,12/30/20,15,13,2,,,,,,,,,,,,
Colorado,CO,School,No,Canon City High School,Regular school,80279000172,,Regular local school district,802790,,,05/03/2021,06/09/2021,30,30,,,,,,,,,,,,,
Colorado,CO,School,No,Canon City Middle School,Regular school,80279000171,,Regular local school district,802790,,,05/03/2021,06/09/2021,8,7,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Caprock Academy,Regular school,80002006305,,Charter agency,800020,,,05/28/21,07/07/2021,11,10,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Carbondale Community School,Regular school,80426001505,,Regular local school district,804260,,,04/14/21,05/12/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Carbondale Middle School,Regular school,80426000586,,Regular local school district,804260,,,04/12/2021,06/10/2021,8,8,,,,,,,,,,,,,
Colorado,CO,School,No,Castle Rock Elementary School,Regular school,80345000437,,Regular local school district,803450,,,03/08/2021,04/06/2021,8,6,2,,,,,,,,,,,,
Colorado,CO,School,No,Castle View High School,Regular school,80345001918,,Regular local school district,803450,,,10/01/2020,11/03/2020,8,5,3,,,,,,,,,,,,
Colorado,CO,School,No,Castle View High School,Regular school,80345001918,,Regular local school district,803450,,,11/24/20,12/15/20,4,3,1,,,,,,,,,,,,
Colorado,CO,School,No,Castle View High School,Regular school,80345001918,,Regular local school district,803450,,,04/05/2021,05/28/21,39,38,1,,,,,,,,,,,,
Colorado,CO,School,No,Cedaredge Elementary School,Regular school,80333000293,,Regular local school district,803330,,,11/28/20,05/06/2021,15,11,4,,,,,,,,,,,,
Colorado,CO,School,No,Cedaredge High School,Regular school,80333001335,,Regular local school district,803330,,,12/01/2020,03/01/2021,43,35,8,,,,,,,,,,,,
Colorado,CO,School,No,Centaurus High School,Regular school,80249000107,,Regular local school district,802490,,,03/08/2021,04/01/2021,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Centennial Academy of Fine Arts Education,Regular school,80531000874,,Regular local school district,805310,,,11/17/20,12/08/2020,4,2,2,,,,,,,,,,,,
Colorado,CO,School,No,Centennial Academy of Fine Arts Education,Regular school,80531000874,,Regular local school district,805310,,,01/28/21,03/02/2021,9,4,5,,,,,,,,,,,,
Colorado,CO,School,No,Centennial Academy of Fine Arts Education,Regular school,80531000874,,Regular local school district,805310,,,04/28/21,05/17/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Centennial Elementary School,Regular school,80441000636,,Regular local school district,804410,,,11/11/2020,12/04/2020,2,,2,,,,,,,,,,,,
Colorado,CO,School,No,Centennial High School,Other/alternative school,80399000517,,Regular local school district,803990,,,12/07/2020,01/19/21,13,10,3,,,,,,,,,,,,
Colorado,CO,School,No,Centennial High School,Other/alternative school,80399000517,,Regular local school district,803990,,,03/16/21,04/11/2021,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Centennial School,Regular school,80636001416,,Regular local school district,806360,,,05/17/21,06/12/2021,8,7,1,,,,,,,,,,,,
Colorado,CO,School,No,Centennial: A School for Expeditionary Learning,Regular school,80336000324,,Regular local school district,803360,,,05/05/2021,05/25/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Central High School,Regular school,80435000600,,Regular local school district,804350,,,11/09/2020,04/27/21,24,20,4,,,,,,,,,,,,
Colorado,CO,School,Yes,Challenge to Excellence Charter School,Regular school,80345001874,,Regular local school district,803450,,,02/06/2021,03/09/2021,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,80192000001,,Regular local school district,801920,,,11/17/20,12/15/20,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Challenger Middle School,Regular school,80192000001,,Regular local school district,801920,,,04/29/21,05/31/21,6,6,,,,,,,,,,,,,
Colorado,CO,School,No,Chaparral High School,Regular school,80345001578,,Regular local school district,803450,,,09/24/20,11/03/2020,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Chatfield High School,Regular school,80480001383,,Regular local school district,804800,,,02/06/2021,06/01/2021,51,51,,,,,,,,,,,,,
Colorado,CO,School,No,Cherokee Trail High School,Regular school,80291001951,,Regular local school district,802910,,,02/09/2021,02/24/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Cherry Creek High School,Regular school,80291000186,,Regular local school district,802910,,,10/08/2020,12/17/20,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Cheyenne Mountain High School,Regular school,80294000211,,Regular local school district,802940,,,10/29/20,11/24/20,11,10,1,,,,,,,,,,,,
Colorado,CO,School,No,Cheyenne Mountain High School,Regular school,80294000211,,Regular local school district,802940,,,02/16/21,06/20/21,33,31,2,,,,,,,,,,,,
Colorado,CO,School,No,Chinook Trail Elementary School,Regular school,80192006329,,Regular local school district,801920,,,12/21/20,01/19/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Chinook Trail Middle School,Regular school,80192006788,,Regular local school district,801920,,,04/29/21,06/15/21,13,13,,,,,,,,,,,,,
Colorado,CO,School,No,Cimarron Middle School,Regular school,80345006404,,Regular local school district,803450,,,05/10/2021,06/15/21,24,24,,,,,,,,,,,,,
Colorado,CO,School,No,Clayton Partnership School,Regular school,80555002016,,Regular local school district,805550,,,11/10/2020,12/28/20,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Clyde Miller P-8,Regular school,80234000057,,Regular local school district,802340,,,03/10/2021,03/27/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,Yes,Collegiate Academy of Colorado,Regular school,80480001036,,Regular local school district,804800,,,11/17/20,01/05/2021,5,3,2,,,,,,,,,,,,
Colorado,CO,School,Yes,Collegiate Academy of Colorado,Regular school,80480001036,,Regular local school district,804800,,,03/02/2021,03/30/21,3,2,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Collegiate Academy of Colorado,Regular school,80480001036,,Regular local school district,804800,,,05/06/2021,06/06/2021,6,6,,,,,,,,,,,,,
Colorado,CO,School,Yes,Colorado Early Colleges Douglas County,Regular school,80002006634,,Charter agency,800020,,,12/04/2020,12/22/20,2,1,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Colorado International Language Academy,Regular school,80002006586,,Charter agency,800020,,,09/21/20,12/01/2020,8,1,7,,,,,,,,,,,,
Colorado,CO,School,Yes,Colorado International Language Academy,Regular school,80002006586,,Charter agency,800020,,,11/06/2020,01/13/21,8,2,6,,,,,,,,,,,,
Colorado,CO,School,Yes,Colorado International Language Academy,Regular school,80002006586,,Charter agency,800020,,,02/17/21,03/12/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Colorado School for the Deaf and the Blind,Special education school,80002306410,,State-operated agency,800023,,,10/26/20,11/16/20,2,,2,,,,,,,,,,,,
Colorado,CO,School,No,Colorado School for the Deaf and the Blind,Special education school,80002306410,,State-operated agency,800023,,,05/03/2021,05/27/21,7,2,5,,,,,,,,,,,,
Colorado,CO,School,No,Colorado Sports Leadership Academy,Regular school,80723001241,,Regular local school district,807230,,,10/10/2020,02/05/2021,4,3,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Colorado Springs Charter Academy,Regular school,80002001912,,Charter agency,800020,,,11/04/2020,12/12/2020,3,,3,,,,,,,,,,,,
Colorado,CO,School,No,Columbia Elementary School,Regular school,80306000227,,Regular local school district,803060,,,05/04/2021,05/21/21,7,6,1,,,,,,,,,,,,
Colorado,CO,School,No,Columbia Middle School,Regular school,80234001322,,Regular local school district,802340,,,04/30/21,06/14/21,6,6,,,,,,,,,,,,,
Colorado,CO,School,No,Columbian Elementary School,Regular school,80612001038,,Regular local school district,806120,,,04/14/21,05/17/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Columbian Elementary School,Regular school,80612001038,,Regular local school district,806120,,,05/03/2021,06/02/2021,4,3,1,,,,,,,,,,,,
Colorado,CO,School,No,Columbine High School,Regular school,80480000707,,Regular local school district,804800,,,11/11/2020,12/08/2020,9,8,1,,,,,,,,,,,,
Colorado,CO,School,No,Columbine High School,Regular school,80480000707,,Regular local school district,804800,,,02/03/2021,06/06/2021,86,86,,,,,,,,,,,,,
Colorado,CO,School,No,Columbine Hills Elementary School,Regular school,80480000706,,Regular local school district,804800,,,02/05/2021,03/02/2021,3,1,2,,,,,,,,,,,,
Colorado,CO,School,Yes,Compass Community Collaborative School,Regular school,80399006762,,Regular local school district,803990,,,05/07/2021,05/27/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Compass Montessori,Regular school,8.048E+22,,Regular local school district,804800,,,08/25/20,10/15/20,2,,2,,,,,,,,,,,,
Colorado,CO,School,Yes,Compass Montessori,Regular school,8.048E+22,,Regular local school district,804800,,,12/23/20,01/19/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Conifer High School,Regular school,80480001542,,Regular local school district,804800,,,04/23/21,05/26/21,6,5,1,,,,,,,,,,,,
Colorado,CO,School,Yes,Coperni 3,Regular school,80002006784,,Charter agency,800020,,,10/12/2020,12/31/20,5,1,4,,,,,,,,,,,,
Colorado,CO,School,No,Coronado Elementary School,Regular school,80480001447,,Regular local school district,804800,,,04/16/21,05/12/2021,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Coronado High School,Regular school,80306000228,,Regular local school district,803060,,,04/23/21,06/18/21,18,18,,,,,,,,,,,,,
Colorado,CO,School,No,Cory Elementary School,Regular school,80336000331,,Regular local school district,803360,,,03/17/21,04/22/21,6,6,,,,,,,,,,,,,
Colorado,CO,School,No,Cotopaxi School Fremont RE3,Regular school,8.0312E+22,,Regular local school district,803120,,,04/29/21,05/30/21,12,12,,,,,,,,,,,,,
Colorado,CO,School,No,Cottonwood Creek Elementary School,Regular school,80291000188,,Regular local school district,802910,,,02/26/21,03/18/21,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Cottonwood Plains Elementary School,Regular school,80540000607,,Regular local school district,805400,,,11/23/20,01/05/2021,10,3,7,,,,,,,,,,,,
Colorado,CO,School,No,Cowell Elementary School,Regular school,80336000332,,Regular local school district,803360,,,10/27/20,11/19/20,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Coyote Hills Elementary School,Regular school,80291002032,,Regular local school district,802910,,,03/11/2021,03/29/21,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Coyote Hills Elementary School,Regular school,80291002032,,Regular local school district,802910,,,04/28/21,05/17/21,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Creativity Challenge Community School,Regular school,80336006559,,Regular local school district,803360,,,02/03/2021,03/31/21,10,8,2,,,,,,,,,,,,
Colorado,CO,School,No,Creede School,Regular school,80315000279,,Regular local school district,803150,,,03/05/2021,05/03/2021,24,23,1,,,,,,,,,,,,
Colorado,CO,School,No,Creekside Elementary School,Regular school,80291001404,,Regular local school district,802910,,,05/17/21,06/05/2021,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Creighton Middle School,Regular school,80480000708,,Regular local school district,804800,,,11/25/20,12/15/20,3,,3,,,,,,,,,,,,
Colorado,CO,School,No,Cresson Elementary School,Regular school,80318000280,,Regular local school district,803180,,,03/16/21,04/18/21,5,4,1,,,,,,,,,,,,
Colorado,CO,School,No,Crest View Elementary,Regular school,80249000110,,Regular local school district,802490,,,11/13/20,01/06/2021,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Cresthill Middle School,Regular school,80345006219,,Regular local school district,803450,,,03/09/2021,04/04/2021,4,4,,,,,,,,,,,,,
Colorado,CO,School,No,Cresthill Middle School,Regular school,80345006219,,Regular local school district,803450,,,04/13/21,05/25/21,16,16,,,,,,,,,,,,,
Colorado,CO,School,No,Cripple Creek - Victor Elementary School,Regular school,80318000281,,Regular local school district,803180,,,11/19/20,12/15/20,5,2,3,,,,,,,,,,,,
Colorado,CO,School,No,Cripple Creek-Victor Junior-Senior High School,Regular school,80318000281,,Regular local school district,803180,,,11/18/20,12/18/20,8,6,2,,,,,,,,,,,,
Colorado,CO,School,No,Crowley County Elementary School,Regular school,80321001519,,Regular local school district,803210,,,05/03/2021,05/24/21,10,10,,,,,,,,,,,,,
Colorado,CO,School,No,Crowley County High School,Regular school,80321000282,,Regular local school district,803210,,,05/03/2021,05/23/21,11,8,3,,,,,,,,,,,,
Colorado,CO,School,No,D'Evelyn Jr/Sr High School,Regular school,80480000964,,Regular local school district,804800,,,10/12/2020,11/01/2020,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,D'Evelyn Jr/Sr High School,Regular school,80480000964,,Regular local school district,804800,,,11/17/20,12/03/2020,10,10,,,,,,,,,,,,,
Colorado,CO,School,No,D'Evelyn Jr/Sr High School,Regular school,80480000964,,Regular local school district,804800,,,05/06/2021,06/04/2021,8,8,,,,,,,,,,,,,
Colorado,CO,School,No,Dakota Ridge High School,Regular school,80480001543,,Regular local school district,804800,,,10/20/20,12/08/2020,6,6,,,,,,,,,,,,,
Colorado,CO,School,No,Dakota Ridge High School,Regular school,80480001543,,Regular local school district,804800,,,02/24/21,06/03/2021,29,29,,,,,,,,,,,,,
Colorado,CO,School,No,Dalton Elementary School,Regular school,80234001295,,Regular local school district,802340,,,01/27/21,02/24/21,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Dartmouth Elementary School,Regular school,80234000059,,Regular local school district,802340,,,04/14/21,05/06/2021,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Deane Elementary School,Regular school,80480000783,,Regular local school district,804800,,,10/23/20,11/03/2020,6,,6,,,,,,,,,,,,
Colorado,CO,School,No,Deer Trail Elementary School,Regular school,80327000287,,Regular local school district,803270,,,11/23/20,12/29/20,6,5,1,,,,,,,,,,,,
Colorado,CO,School,No,Delta High School,Other/alternative school,80336006731,,Regular local school district,803360,,,12/03/2020,05/02/2021,37,34,3,,,,,,,,,,,,
Colorado,CO,School,No,Delta Middle School,Regular school,80333000296,,Regular local school district,803330,,,12/01/2020,04/12/2021,23,19,4,,,,,,,,,,,,
